"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"2021","Mid-level/Intermediate","Full-time","Machine Learning Engineer",40000.00,"EUR",47681.00,"ES",100,"ES","Small Company"
"2021","Executive-level/Director","Full-time","Director of Data Science",130000.00,"EUR",154963.00,"IT",100,"PL","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",110000.00,"PLN",28801.00,"PL",100,"PL","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Analytics Engineer",110000.00,"USD",110000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Research Scientist",60000.00,"GBP",83000.00,"GB",50,"GB","Large Company"
"2020","Entry-level/Junior","Full-time","Machine Learning Engineer",250000.00,"USD",250000.00,"US",50,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Analyst",50000.00,"EUR",59601.00,"FR",50,"FR","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Analyst",80000.00,"USD",80000.00,"BG",100,"US","Small Company"
"2020","Entry-level/Junior","Full-time","Data Analyst",10000.00,"USD",10000.00,"NG",100,"NG","Small Company"
"2020","Entry-level/Junior","Full-time","Machine Learning Engineer",138000.00,"USD",138000.00,"US",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",140000.00,"USD",140000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Analytics Engineer",67000.00,"EUR",79866.00,"DE",100,"DE","Large Company"
"2021","Senior-level/Expert","Full-time","Lead Data Analyst",170000.00,"USD",170000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Analyst",80000.00,"USD",80000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",45760.00,"USD",45760.00,"PH",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","BI Data Analyst",100000.00,"USD",100000.00,"US",100,"US","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",45000.00,"EUR",53641.00,"FR",50,"FR","Large Company"
"2021","Executive-level/Director","Full-time","Head of Data",235000.00,"USD",235000.00,"US",100,"US","Large Company"
"2021","Executive-level/Director","Full-time","BI Data Analyst",150000.00,"USD",150000.00,"IN",100,"US","Large Company"
"2020","Executive-level/Director","Full-time","Data Engineering Manager",70000.00,"EUR",79833.00,"ES",50,"ES","Large Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Scientist",225000.00,"USD",225000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Science Consultant",65000.00,"EUR",77481.00,"DE",100,"DE","Small Company"
"2020","Mid-level/Intermediate","Full-time","Machine Learning Infrastructure Engineer",44000.00,"EUR",50180.00,"PT",0,"PT","Medium Company"
"2021","Senior-level/Expert","Full-time","Marketing Data Analyst",75000.00,"EUR",89402.00,"GR",100,"DK","Large Company"
"2021","Senior-level/Expert","Full-time","Lead Data Engineer",75000.00,"GBP",103750.00,"GB",100,"GB","Small Company"
"2021","Senior-level/Expert","Full-time","Director of Data Engineering",82500.00,"GBP",114125.00,"GB",100,"GB","Medium Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Engineer",80000.00,"EUR",95362.00,"DE",50,"DE","Large Company"
"2021","Entry-level/Junior","Full-time","Data Engineer",2250000.00,"INR",30509.00,"IN",100,"IN","Large Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",150000.00,"USD",150000.00,"US",100,"US","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",115000.00,"USD",115000.00,"US",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Research Scientist",235000.00,"CAD",187917.00,"CA",100,"CA","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Analyst",37456.00,"GBP",51814.00,"GB",50,"GB","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",106000.00,"USD",106000.00,"US",100,"US","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",88000.00,"GBP",112872.00,"GB",50,"GB","Large Company"
"2021","Mid-level/Intermediate","Full-time","BI Data Analyst",11000000.00,"HUF",36732.00,"HU",50,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",150000.00,"USD",150000.00,"US",100,"US","Large Company"
"2020","Entry-level/Junior","Part-time","ML Engineer",14000.00,"EUR",15966.00,"DE",100,"DE","Small Company"
"2021","Mid-level/Intermediate","Full-time","Computer Vision Software Engineer",81000.00,"EUR",96554.00,"DE",100,"US","Small Company"
"2021","Entry-level/Junior","Full-time","Computer Vision Software Engineer",70000.00,"USD",70000.00,"US",100,"US","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Financial Data Analyst",450000.00,"USD",450000.00,"US",100,"US","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",60000.00,"GBP",76958.00,"GB",100,"GB","Small Company"
"2021","Mid-level/Intermediate","Full-time","Cloud Data Engineer",120000.00,"SGD",89514.00,"SG",50,"SG","Large Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",2200000.00,"INR",29831.00,"IN",50,"IN","Large Company"
"2021","Senior-level/Expert","Full-time","Lead Data Engineer",276000.00,"USD",276000.00,"US",0,"US","Large Company"
"2020","Senior-level/Expert","Full-time","Data Engineer",188000.00,"USD",188000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Cloud Data Engineer",160000.00,"USD",160000.00,"BR",100,"US","Small Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",105000.00,"USD",105000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",200000.00,"USD",200000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Engineering Manager",174000.00,"USD",174000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Analyst",93000.00,"USD",93000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",2100000.00,"INR",28475.00,"IN",100,"IN","Medium Company"
"2021","Senior-level/Expert","Full-time","Research Scientist",51400.00,"EUR",61270.00,"PT",50,"PT","Large Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",90000.00,"USD",90000.00,"US",100,"US","Small Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",61500.00,"EUR",70139.00,"FR",50,"FR","Large Company"
"2020","Entry-level/Junior","Full-time","Data Analyst",450000.00,"INR",6072.00,"IN",0,"IN","Small Company"
"2020","Senior-level/Expert","Full-time","Data Engineer",720000.00,"MXN",33511.00,"MX",0,"MX","Small Company"
"2021","Senior-level/Expert","Full-time","Principal Data Analyst",170000.00,"USD",170000.00,"US",100,"US","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",70000.00,"GBP",96833.00,"GB",50,"GB","Large Company"
